date,series,part,title,pov,contact,skin,mood,script,cta,description,hashtags,pinned
2026-09-06,Wrong Number,,I nearly called the police over this text 📦,,Unknown,,,"Unknown: The package is under the mat. Burn the note.
Me: i think u have the wrong number
Unknown: 14 Birch Lane. Blue door.
Me: that's my house
[typing 3]
Unknown: Then you know where the mat is.
Me: who is this
[seen]
[pause 1.5]
Me: i'm calling the police
[boom]
Unknown: Or open it. Happy birthday, kiddo. Dad said you'd panic.
Me: DAD SET THIS UP??
Unknown: Uncle Ray. Your dad owes me twenty bucks now.
[react 😂]",Would you have opened it? 📦,A number I didn't know told me to burn a note and check under the mat. It knew my address.,#textstory #chatstory #wrongnumber #plottwist #storytime,Be honest. Police or open it? 👇
2026-09-07,Dad Jokes Inc,,My dad is not okay 🐶,,Dad,,,"Dad: This is Biscuit. Dad is hurt. Send help.
Me: dad stop
Dad: Biscuit does not know stop. Biscuit knows treat.
Me: are you actually ok
Dad: Biscuit says Dad fell off the ladder cleaning gutters.
Me: DAD
Dad: Biscuit says Dad is fine. Dad is on the couch.
[typing 2]
Dad: Biscuit says Dad needs pizza to recover.
Me: i'm coming over right now
[boom]
Dad: Biscuit says bring the good pizza. Not the one Mom likes.
Me: i love you. both of you.
Dad: Biscuit says same. Dad says the ladder started it.
[react ❤️]",Does your dad text like this? 🐶,Dad fell off a ladder. He didn't want me to worry. So he let the dog break the news.,#textstory #chatstory #dadjokes #dadtexts #wholesome,Rate the dad move out of 10 👇
2026-09-08,Grandma Learns Texting,,My grandma has no idea what Google is 👵,,Grandma,,,"Grandma: HELLO GOOGLE. HOW DO I MAKE THE PHONE LOUDER
Me: grandma this is me. not google
Grandma: GOOGLE THIS IS MARGARET
Me: i know grandma
Grandma: GOOGLE WHAT IS THE WEATHER IN OHIO
Me: rainy. it's me. your grandson.
Grandma: THANK YOU GOOGLE
[time Two hours later]
Grandma: GOOGLE. ONE MORE QUESTION.
Me: yes grandma
[typing 3]
Grandma: GOOGLE PLEASE TELL MY GRANDSON TO VISIT. HE IS VERY BUSY.
[seen]
[pause 1.5]
Me: i'm coming sunday grandma. i promise.
[boom]
Grandma: THANK YOU GOOGLE. YOU ARE A GOOD BOY.
[react ❤️]",Call your grandma today 📞,Grandma thought she was texting Google all afternoon. Then she asked it for one favor.,#textstory #chatstory #grandma #wholesome #storytime,When did you last visit your grandparents? 👇
2026-09-09,Last Message,,He answered me every Sunday for two years 😭,,Ben ❤️,,,"Stranger: I'm not your brother. I'm sorry.
Me: what
Stranger: I got this number in March. Two years ago.
Me: no
Me: he answers me every sunday
Me: he says goodnight back
Stranger: That was me.
[typing 3]
Stranger: You said goodnight to him. I couldn't leave it sitting there.
Me: you let me think he was reading them
[seen]
[pause 1.5]
[boom]
Stranger: You were nine. He'd have wanted somebody to answer.
Me: he would have
Stranger: Goodnight, kiddo.
[react 😭]",Was that kind or cruel?,"For two years she said goodnight to her brother's old number, and every Sunday it said goodnight back. This week the person holding that number finally told her the truth.",#textstory #chatstory #sad #storytime,He should have told her sooner. Or should he? 👇
2026-09-10,Texts From Mom,,My mum waited in a car park all day ❤️,,Mom,,,"Mom: Are you busy today or just saying that.
Me: kinda busy why
Mom: No reason. Forget it.
Me: mom
Mom: It's nothing. Go do your thing.
[typing 3]
Me: youve texted me 4 times since 6am
Mom: I've been in the hospital car park since six.
Me: WHAT
Mom: I didn't want to ruin your Saturday.
[seen]
[pause 1.5]
[boom]
Mom: Results at four. I didn't want to sit in there alone.
Me: im already in the lift
Mom: Oh.
[react ❤️]",Would you have caught it?,"She said it was nothing four separate times. She had been sitting in a hospital car park since six in the morning, on her own.",#textstory #chatstory #momtexts #sad #storytime,"How many times has your mum said ""it's nothing""? 👇"
2026-09-11,Little Brother Logic,,My 8 year old brother is a criminal 💸,,Bro,,,"Bro: i have a business proposal for you
Me: no
Bro: i wont tell mom about the dent for $20
Me: what dent
Bro: exactly
Me: there is no dent
[typing 2]
Me: THAT'S NOT MY CAR
Bro: mom doesnt know that
Me: ...$10
Bro: $20 and a ride to tylers
Me: fine. you're a criminal.
[boom]
Bro: pleasure doing business. also mom already knows
Me: WHAT
Bro: she paid me $5 to see how much youd offer
[react 😂]",Whose side are you on? 👇,My little brother tried to blackmail me over a dent that wasn't even on my car. Mom was in on it.,#textstory #chatstory #siblings #funny #storytime,Little brother or mom: who's the real villain? 👇
2026-09-12,"Mr. Reyes, 3rd Period",,I got caught in the worst lie possible 💀,,Mr. Reyes,,,"Me: mr reyes i can't come today. my grandma passed away
Teacher: I'm so sorry. Which grandma?
Me: my dad's mom
Teacher: Margaret?
Me: yes
[typing 3]
Teacher: She's in my classroom right now. Dropping off your lunch.
[seen]
[pause 2]
Teacher: She says hi.
Me: ...
[boom]
Teacher: Detention. She says she'll drive you.
Me: 💀
Teacher: She also says your homework is on the kitchen table.
Me: this is the worst day of my life
Teacher: She's laughing. See you at 8.",Worst excuse you've ever used? 👇,I told my teacher my grandma died to skip class. My grandma was standing in his classroom.,#textstory #chatstory #school #teacher #funny,Drop your worst excuse below 👇
2026-09-13,Texts From Mom,,My mum found the letters I never sent ✉️,,Mom,,,"Mom: I cleaned your room.
Me: MOM
Mom: I found the box under your bed.
Me: it's not what you think
Mom: The one with the letters.
Me: mom please don't
[seen]
[pause 2]
Mom: You wrote one to me every year since your dad left.
Mom: You never gave me a single one.
Me: they were dumb
[boom]
Mom: I read all seven.
Mom: I'm sitting on your floor. I can't stop crying.
Me: i'm coming home
[typing 2]
Mom: Bring tissues. And write the eighth one.
[react ❤️]",Who would you write a letter to? 💌,Mom cleaned my room and found a box I never meant her to see. Seven letters. One for every year.,#textstory #chatstory #momtexts #emotional #storytime,Tell your mom something today. Then tell us below 👇
2026-09-14,Dog Sitter Updates,,My friend didn't want to give my dog back 🐕,,Bestie,,sad,"Bestie: Can I keep him one more night.
Me: its been three nights lol
Bestie: I know. One more.
Me: dude whats going on
Bestie: Nothing. He's good company.
[typing 3]
Me: you havent left the flat since friday have you
Bestie: No.
[seen]
[pause 1.5]
[boom]
Bestie: He sits by the door when I cry. He's the only one who noticed.
Me: im coming over. bringing his bed too.
Bestie: You don't have to.
Me: im already on the bus
[react ❤️]",Would you have noticed?,"He lent his dog to a friend for one night. Three days later the friend still would not hand him back, and would not say why.",#textstory #chatstory #sad #dog #storytime,Check on your quiet friends. 👇
2026-09-15,Boss Texted at 11 PM,,I did not sleep after this text 👔,,Boss,,,"Boss: We need to talk tomorrow. 8 AM.
Me: is everything ok?
Boss: Bring your laptop.
[seen]
[pause 2]
Me: am i being fired
Boss: 8 AM.
[time Next morning]
Me: i'm outside your office. i didn't sleep.
[typing 2]
Boss: Good. Look at your screen.
Me: what am i looking at
[boom]
Boss: Your new title. Team lead. I wanted to see your face.
Me: I THOUGHT I WAS FIRED
Boss: I know. Neither of us slept. Congratulations.
[react 🔥]",Would you have slept? 😅,My boss texted 'we need to talk' at 11 PM and told me to bring my laptop. I didn't sleep.,#textstory #chatstory #boss #work #plottwist,Worst text you've ever gotten from a boss? 👇
